Chr,Ne,S,NLoci,nprime
1,50,25,100,68.4
1,50,25,250,101.4
1,50,25,500,123.8
1,50,25,1000,137.8
1,50,25,2500,148.3
1,50,25,5000,149
1,50,25,10000,150.8
1,50,25,25000,150.2
1,50,25,50000,151.5
1,50,25,100000,149.6
1,50,25,200000,151.1
1,200,25,100,93
1,200,25,250,161
1,200,25,500,229
1,200,25,1000,302
1,200,25,2500,371
1,200,25,5000,378
1,200,25,10000,392
1,200,25,25000,404
1,200,25,50000,409
1,200,25,100000,413
1,200,25,200000,418
1,200,50,100,91
1,200,50,250,211
1,200,50,500,322
1,200,50,1000,479
1,200,50,2500,615
1,200,50,5000,725
1,200,50,10000,738
1,200,50,25000,776
1,200,50,50000,782
1,200,50,100000,809
1,200,50,200000,803
1,200,100,100,91
1,200,100,250,232
1,200,100,500,397
1,200,100,1000,688
1,200,100,2500,1135
1,200,100,5000,1391
1,200,100,10000,1591
1,200,100,25000,1799
1,200,100,50000,1786
1,200,100,100000,1836
1,200,100,200000,1860
1,800,25,100,109
1,800,25,250,233
1,800,25,500,410
1,800,25,1000,603
1,800,25,2500,942
1,800,25,5000,1218
1,800,25,10000,1312
1,800,25,25000,1387
1,800,25,50000,1406
1,800,25,100000,1404
1,800,25,200000,1429
1,800,50,100,107
1,800,50,250,236
1,800,50,500,447
1,800,50,1000,765
1,800,50,2500,1164
1,800,50,5000,1564
1,800,50,10000,1877
1,800,50,25000,2051
1,800,50,50000,2181
1,800,50,100000,2228
1,800,50,200000,2238
1,800,100,100,118
1,800,100,250,242
1,800,100,500,473
1,800,100,1000,877
1,800,100,2500,1458
1,800,100,5000,2350
1,800,100,10000,2969
1,800,100,25000,3725
1,800,100,50000,3898
1,800,100,100000,4007
1,800,100,200000,4124
1,3200,25,100,103
1,3200,25,250,265
1,3200,25,500,511
1,3200,25,1000,830
1,3200,25,2500,1727
1,3200,25,5000,2290
1,3200,25,10000,2938
1,3200,25,25000,3542
1,3200,25,50000,3790
1,3200,25,1.00E+05,4337
1,3200,25,2.00E+05,4472
1,3200,50,100,109
1,3200,50,250,269
1,3200,50,500,535
1,3200,50,1000,945
1,3200,50,2500,1930
1,3200,50,5000,3432
1,3200,50,10000,4875
1,3200,50,25000,6370
1,3200,50,50000,7466
1,3200,50,1.00E+05,7664
1,3200,50,2.00E+05,7801
1,3200,100,100,106
1,3200,100,250,264
1,3200,100,500,519
1,3200,100,1000,1025
1,3200,100,2500,2186
1,3200,100,5000,4071
1,3200,100,10000,6032
1,3200,100,25000,10282
1,3200,100,50000,12104
1,3200,100,1.00E+05,14659
1,3200,100,2.00E+05,15687
4,50,25,100,89.2
4,50,25,250,187.3
4,50,25,500,293.9
4,50,25,1000,412
4,50,25,2500,543
4,50,25,5000,572.6
4,50,25,10000,602.4
4,50,25,25000,618.9
4,50,25,50000,631.5
4,50,25,100000,635.8
4,50,25,200000,642.9
4,200,25,100,109
4,200,25,250,232
4,200,25,500,390
4,200,25,1000,649
4,200,25,2500,989
4,200,25,5000,1118
4,200,25,10000,1214
4,200,25,25000,1349
4,200,25,50000,1339
4,200,25,100000,1361
4,200,25,200000,1367
4,200,50,100,104
4,200,50,250,248
4,200,50,500,416
4,200,50,1000,696
4,200,50,2500,1154
4,200,50,5000,1511
4,200,50,10000,1723
4,200,50,25000,1943
4,200,50,50000,1976
4,200,50,100000,2037
4,200,50,200000,2054
4,200,100,100,108
4,200,100,250,271
4,200,100,500,509
4,200,100,1000,1004
4,200,100,2500,2031
4,200,100,5000,3142
4,200,100,10000,4453
4,200,100,25000,5716
4,200,100,50000,6449
4,200,100,100000,6742
4,200,100,200000,6959
4,800,25,100,111
4,800,25,250,269
4,800,25,500,484
4,800,25,1000,913
4,800,25,2500,1787
4,800,25,5000,2427
4,800,25,10000,3366
4,800,25,25000,3905
4,800,25,50000,4263
4,800,25,100000,4343
4,800,25,200000,4491
4,800,50,100,110
4,800,50,250,258
4,800,50,500,537
4,800,50,1000,916
4,800,50,2500,2097
4,800,50,5000,3377
4,800,50,10000,4565
4,800,50,25000,6935
4,800,50,50000,7555
4,800,50,100000,8086
4,800,50,200000,8355
4,800,100,100,104
4,800,100,250,268
4,800,100,500,538
4,800,100,1000,1016
4,800,100,2500,2387
4,800,100,5000,4551
4,800,100,10000,7373
4,800,100,25000,13273
4,800,100,50000,17100
4,800,100,100000,20231
4,800,100,200000,22302
4,3200,25,100,103
4,3200,25,250,272
4,3200,25,500,506
4,3200,25,1000,1075
4,3200,25,2500,2213
4,3200,25,5000,4129
4,3200,25,10000,6854
4,3200,25,25000,9944
4,3200,25,50000,13362
4,3200,25,1.00E+05,16719
4,3200,25,2.00E+05,17557
4,3200,50,100,105
4,3200,50,250,292
4,3200,50,500,527
4,3200,50,1000,971
4,3200,50,2500,2380
4,3200,50,5000,4359
4,3200,50,10000,7352
4,3200,50,25000,13467
4,3200,50,50000,20274
4,3200,50,1.00E+05,25809
4,3200,50,2.00E+05,30366
4,3200,100,100,102
4,3200,100,250,256
4,3200,100,500,528
4,3200,100,1000,1013
4,3200,100,2500,2703
4,3200,100,5000,5117
4,3200,100,10000,9586
4,3200,100,25000,19065
4,3200,100,50000,32126
4,3200,100,1.00E+05,38195
4,3200,100,2.00E+05,49727
16,50,25,100,108.8
16,50,25,250,264.1
16,50,25,500,434.8
16,50,25,1000,732
16,50,25,2500,1208
16,50,25,5000,1467.9
16,50,25,10000,1743.3
16,50,25,25000,1906.4
16,50,25,50000,2031.6
16,50,25,100000,2055.1
16,50,25,200000,2068.2
16,200,25,100,104
16,200,25,250,256
16,200,25,500,475
16,200,25,1000,829
16,200,25,2500,1635
16,200,25,5000,2212
16,200,25,10000,2908
16,200,25,25000,3657
16,200,25,50000,3870
16,200,25,100000,4050
16,200,25,200000,4173
16,200,50,100,102
16,200,50,250,273
16,200,50,500,494
16,200,50,1000,946
16,200,50,2500,2391
16,200,50,5000,3411
16,200,50,10000,4782
16,200,50,25000,6940
16,200,50,50000,8479
16,200,50,100000,8757
16,200,50,200000,9135
16,200,100,100,115
16,200,100,250,273
16,200,100,500,533
16,200,100,1000,1071
16,200,100,2500,2322
16,200,100,5000,4841
16,200,100,10000,7991
16,200,100,25000,15713
16,200,100,50000,22112
16,200,100,100000,29068
16,200,100,200000,32286
16,800,25,100,111
16,800,25,250,248
16,800,25,500,535
16,800,25,1000,1034
16,800,25,2500,2451
16,800,25,5000,4228
16,800,25,10000,7083
16,800,25,25000,12613
16,800,25,50000,15667
16,800,25,100000,17809
16,800,25,200000,19802
16,800,50,100,106
16,800,50,250,268
16,800,50,500,508
16,800,50,1000,1067
16,800,50,2500,2432
16,800,50,5000,4775
16,800,50,10000,7926
16,800,50,25000,15395
16,800,50,50000,22076
16,800,50,100000,26790
16,800,50,200000,29887
16,800,100,100,115
16,800,100,250,264
16,800,100,500,508
16,800,100,1000,1017
16,800,100,2500,2522
16,800,100,5000,4756
16,800,100,10000,8754
16,800,100,25000,18688
16,800,100,50000,27363
16,800,100,100000,39698
16,800,100,200000,46147
16,3200,25,100,112
16,3200,25,250,283
16,3200,25,500,566
16,3200,25,1000,1058
16,3200,25,2500,2672
16,3200,25,5000,4956
16,3200,25,10000,9447
16,3200,25,25000,18802
16,3200,25,50000,29567
16,3200,25,1.00E+05,44809
16,3200,25,2.00E+05,54373
16,3200,50,100,107
16,3200,50,250,244
16,3200,50,500,516
16,3200,50,1000,1042
16,3200,50,2500,2663
16,3200,50,5000,4742
16,3200,50,10000,10171
16,3200,50,25000,23076
16,3200,50,50000,33989
16,3200,50,1.00E+05,53556
16,3200,50,2.00E+05,75316
16,3200,100,100,112
16,3200,100,250,276
16,3200,100,500,545
16,3200,100,1000,1008
16,3200,100,2500,2547
16,3200,100,5000,4975
16,3200,100,10000,10511
16,3200,100,25000,23032
16,3200,100,50000,40221
16,3200,100,1.00E+05,78640
16,3200,100,2.00E+05,113442
64,50,25,100,106.9
64,50,25,250,259.3
64,50,25,500,487.7
64,50,25,1000,931.7
64,50,25,2500,1879.2
64,50,25,5000,2889.1
64,50,25,10000,3942.5
64,50,25,25000,4752.4
64,50,25,50000,5455.4
64,50,25,100000,5621.9
64,50,25,200000,5755.3
64,200,25,100,109
64,200,25,250,268
64,200,25,500,544
64,200,25,1000,1037
64,200,25,2500,2325
64,200,25,5000,3860
64,200,25,10000,6325
64,200,25,25000,8771
64,200,25,50000,10727
64,200,25,100000,12223
64,200,25,200000,12389
64,200,50,100,104
64,200,50,250,257
64,200,50,500,507
64,200,50,1000,1003
64,200,50,2500,2396
64,200,50,5000,4674
64,200,50,10000,8880
64,200,50,25000,16181
64,200,50,50000,22030
64,200,50,100000,27695
64,200,50,200000,31814
64,200,100,100,101
64,200,100,250,243
64,200,100,500,504
64,200,100,1000,985
64,200,100,2500,2630
64,200,100,5000,4836
64,200,100,10000,9643
64,200,100,25000,20948
64,200,100,50000,34358
64,200,100,100000,52861
64,200,100,200000,73726
64,800,25,100,110
64,800,25,250,284
64,800,25,500,503
64,800,25,1000,1038
64,800,25,2500,2493
64,800,25,5000,4692
64,800,25,10000,9277
64,800,25,25000,18643
64,800,25,50000,28959
64,800,25,100000,36600
64,800,25,200000,44826
64,800,50,100,110
64,800,50,250,276
64,800,50,500,566
64,800,50,1000,1022
64,800,50,2500,2666
64,800,50,5000,5360
64,800,50,10000,9690
64,800,50,25000,21630
64,800,50,50000,39464
64,800,50,100000,61385
64,800,50,200000,85016
64,800,100,100,112
64,800,100,250,251
64,800,100,500,566
64,800,100,1000,990
64,800,100,2500,2460
64,800,100,5000,5164
64,800,100,10000,9478
64,800,100,25000,23622
64,800,100,50000,40959
64,800,100,100000,74440
64,800,100,200000,110582
64,3200,25,100,112
64,3200,25,250,268
64,3200,25,500,526
64,3200,25,1000,1115
64,3200,25,2500,2581
64,3200,25,5000,5071
64,3200,25,10000,9907
64,3200,25,25000,24785
64,3200,25,50000,39959
64,3200,25,1.00E+05,59522
64,3200,25,2.00E+05,86161
64,3200,50,100,105
64,3200,50,250,276
64,3200,50,500,541
64,3200,50,1000,1049
64,3200,50,2500,2871
64,3200,50,5000,4895
64,3200,50,10000,10238
64,3200,50,25000,23378
64,3200,50,50000,41507
64,3200,50,1.00E+05,94506
64,3200,50,2.00E+05,135933
64,3200,100,100,111
64,3200,100,250,259
64,3200,100,500,501
64,3200,100,1000,1167
64,3200,100,2500,2743
64,3200,100,5000,5344
64,3200,100,10000,10230
64,3200,100,25000,27793
64,3200,100,50000,47870
64,3200,100,1.00E+05,97040
64,3200,100,2.00E+05,170636
